Year,Q_Cu,Q_Co,Q_Li,Q_Ni,P_Cu,P_Co,P_Li,P_Ni,QR_Cu,QR_Ni,QR_Ni_c,PL_Cu,P_Bar,P_Cof,P_Cot,Y,Y_F,R_Equ,Y_IP,S_Cu
2011,16100000,111000,610000,2340000,10363.87897,41802.90849,4481.364428,26517.63447,19601000,,0.159056868,10222.82311,76.78407384,104.6339868,58.07687174,"55,002,101",46.02174886,0.022730019,117.9450468,1091413.75
2012,16900000,96800,634000,2340000,9189.43947,34602.21035,4787.584514,19853.72725,20194000,,0.115133863,9033.271943,87.24094415,70.5194468,33.62745561,"56,927,174",36.09200187,0.169079557,118.5749012,1059184.083
2013,18300000,106000,582000,2570000,8374.719635,31195.55111,4908.54729,16771.80167,21058000,,0.078412284,8198.16847,72.61776644,51.98491983,33.5610251,"58,919,625",40.80990355,0.295635909,120.1362616,927463
2014,18400000,115000,587000,2790000,7712.901521,33668.30051,4962.223375,18594.58427,22490000,,-0.08279717,7551.599004,51.79874284,74.14,30.18,"61,040,732",37.64292742,0.158166364,123.0686792,1163943.917
2015,19100000,121000,604000,2350000,6209.166853,32089.85347,4989.312834,12967.8175,22838000,,0.002488581,6044.845923,42.76311396,58.71566875,25.84367952,"63,177,157",23.4178063,0.021029368,124.2506789,771215.5833
2016,20100000,113000,745180,2280000,5381.008392,28735.3983,4938.008891,10412.14446,23357000,,-0.00048844,5278.077734,38.11472205,62.57669653,28.34481882,"65,262,004",20.51976742,0.1342,125.9437662,963475
2017,20000000,120000,1353090,2090000,6686.107319,63182.43816,11157.70643,11054.63047,23548000,,0.117362159,6547.827759,34.60260031,55.64278341,30.85006348,"67,741,960",30.91475834,0.2508,129.811324,938078.3333
2018,21000000,148000,1862950,2400000,6830.78452,85596.339,12343.90359,13603.18922,24058000,,0.091706307,6769.039899,42.65883128,46.84554676,32.24519865,"70,180,670",35.14749855,-0.0563,133.0475611,1035700
2019,20400000,144000,1686460,2610000,6248.016458,37876.9238,9011.082288,14092.35962,24045000,,0.07134715,6087.12333,44.40225474,47.17256374,28.11701463,"72,145,729",34.32454882,0.2234,133.5943307,1052412
2020,20000000,140000,1608020,2500000,6172.88,35273.6,5600,14000,23818177,,0.005465901,5952.42,34.0061267,54.71202319,26.09822471,"69,909,212",27.78792293,0.0725,127.2896917,847473.1667
